address,address_clean,lat,lon
"584 NORTH MACON STREET, LUDOWICI, Georgia 31316-5958","584 NORTH MACON STREET, LUDOWICI, Georgia 31316",31.721643,-81.750213
"455 GREENWAVE DRIVE, DAWSON, Georgia 39842","455 GREENWAVE DRIVE, DAWSON, Georgia 39842",31.723566,-84.350335
"1636 HATCH PARKWAY SOUTH, BAXLEY, Georgia 31513","1636 HATCH PARKWAY SOUTH, BAXLEY, Georgia 31513",31.7561559,-82.3600408
"1666 ALBANY HWY, DAWSON, Georgia 39842","1666 ALBANY HWY, DAWSON, Georgia 39842",31.7581323,-84.4300394
"969 FORRESTER DRIVE SE, DAWSON, Georgia 39842-2106","969 FORRESTER DRIVE SE, DAWSON, Georgia 39842",31.7608886,-84.4358084
"505 FORRESTER DR SE, DAWSON, Georgia 39842","505 FORRESTER DR SE, DAWSON, Georgia 39842",31.7635665,-84.444554
"105 EAST TOLLISON STREET, BAXLEY, Georgia 31513-0150","105 EAST TOLLISON STREET, BAXLEY, Georgia 31513",31.769878,-82.351365
"283 WALNUT STREET, BAXLEY, Georgia 31513","283 WALNUT STREET, BAXLEY, Georgia 31513",31.7702194,-82.3474723
"134 JC HUNTER DRIVE, FITZGERALD, Georgia 31750","134 JC HUNTER DRIVE, FITZGERALD, Georgia 31750",31.77084,-83.17442
"207 NORTH WEBSTER STREET, CUTHBERT, Georgia 39840-2523","207 NORTH WEBSTER STREET, CUTHBERT, Georgia 39840",31.7753505,-84.7858739
"18 LUCKIE STREET, BAXLEY, Georgia 31513-8072","18 LUCKIE STREET, BAXLEY, Georgia 31513",31.7764907,-82.351294
"512 SOUTH MAIN STREET, HINESVILLE, Georgia 31313","512 SOUTH MAIN STREET, HINESVILLE, Georgia 31313",31.8367804,-81.5988334
"455 SOUTH MAIN STREET, HINESVILLE, Georgia 31313-4354","455 SOUTH MAIN STREET, HINESVILLE, Georgia 31313",31.8388506,-81.5983411
"303 FRASER DRIVE, HINESVILLE, Georgia 31313-3712","303 FRASER DRIVE, HINESVILLE, Georgia 31313",31.8457877,-81.5905067
"1113 EAST OGLETHORPE HIGHWAY, HINESVILLE, Georgia 31313-1200","1113 EAST OGLETHORPE HIGHWAY, HINESVILLE, Georgia 31313",31.8538986,-81.5774204
"1113 EAST OGLETHORPE HIGHWAY, HINESVILLE, Georgia 31313-1200","1113 EAST OGLETHORPE HIGHWAY, HINESVILLE, Georgia 31313",31.8538986,-81.5774204
"143 S. TALLAHASSEE STREET, HAZLEHURST, Georgia 31539","143 S. TALLAHASSEE STREET, HAZLEHURST, Georgia 31539",31.8594602,-82.6055336
"30 EAST SYCAMORE STREET, HAZLEHURST, Georgia 31539-6162","30 EAST SYCAMORE STREET, HAZLEHURST, Georgia 31539",31.866224,-82.595537
"105 MAIN STREET, GEORGETOWN, Georgia 39854-4404","105 MAIN STREET, GEORGETOWN, Georgia 39854",31.8860249,-85.1087733
"330 OLD HATLEY ROAD, CORDELE, Georgia 31015","330 OLD HATLEY ROAD, CORDELE, Georgia 31015",31.925906,-83.754277
"89 INTERCHANGE DR., RICHMOND HILL, Georgia 31324-3974","89 INTERCHANGE DR., RICHMOND HILL, Georgia 31324",31.9281704,-81.3275527
"1000 N. VETERANS BLVD, GLENNVILLE, Georgia 30427-8603","1000 N. VETERANS BLVD, GLENNVILLE, Georgia 30427",31.946105,-81.925454
"1001 SECOND AVENUE, ROCHELLE, Georgia 31079-2149","1001 SECOND AVENUE, ROCHELLE, Georgia 31079",31.949692,-83.44807
"636 2ND AVENUE SW, ROCHELLE, Georgia 31079-2046","636 2ND AVENUE SW, ROCHELLE, Georgia 31079",31.953113,-83.451111
"111 EAST 24TH AVENUE, CORDELE, Georgia 31015-3834","111 EAST 24TH AVENUE, CORDELE, Georgia 31015",31.9549728,-83.7821278
